,Forecast,Lower_95CI,Upper_95CI
2026 Q2,3186301.433317267,3162392.367873814,3210210.49876072
2026 Q3,3381102.9471091526,3333939.0506189605,3428266.8435993446
2026 Q4,3575902.5413945713,3501611.4215133423,3650193.6612758003
2027 Q1,3770700.2161924373,3665740.032105611,3875660.4002792635
2027 Q2,3965495.9715216644,3826652.1363848792,4104339.8066584496
2027 Q3,4160289.8074011663,3984611.598666577,4335968.016135755
2027 Q4,4355081.723849857,4139830.608480044,4570332.83921967
2028 Q1,4549871.72088665,4292482.991668375,4807260.450104924
